,dokumen,clean_corpus,terms
10,"""Melalui pesan digital, Kepala Dinas Pendidikan Kota Palembang menginstruksikan kegiatan belajar mengajar di tingkat paud, TK, SD dan SMP negeri dan swasta diliburkan hingga batas yang belum ditentukan,"" sebut Agus dalam siaran pers.",pesan digital kepala dinas didik kota palembang instruksi giat ajar ajar tingkat paud tk sd smp negeri swasta libur batas agus siar pers,"['pesan', 'digital', 'kepala', 'dinas', 'didik', 'kota', 'palembang', 'instruksi', 'giat', 'ajar', 'tingkat', 'paud', 'tk', 'sd', 'smp', 'negeri', 'swasta', 'libur', 'batas', 'agus', 'siar', 'pers']"
11,"Sejumlah warga Palembang, Sumatera Selatan, mengeluhkan kabut asap pada Senin (14/10) tergolong parah.",warga palembang sumatera selatan keluh kabut asap senin golong parah,"['warga', 'palembang', 'sumatera', 'selatan', 'keluh', 'kabut', 'asap', 'senin', 'golong', 'parah']"
12,Bahkan jarak pandang hanya 10 meter.,jarak pandang meter,"['jarak', 'pandang', 'meter']"
13,"Amelia, warga Kelurahan Bukit Sangkal, Kecamatan Kalidoni, mengatakan dirinya terkejut ketika akan ke luar rumah sekitar pukul 06.30 WIB untuk mengantar anaknya ke sekolah mendapati kabut sedemikian pekat.",amelia warga lurah bukit sangkal camat kalidoni kejut rumah wib anak sekolah kabut pekat,"['amelia', 'warga', 'lurah', 'bukit', 'sangkal', 'camat', 'kalidoni', 'kejut', 'rumah', 'wib', 'anak', 'sekolah', 'kabut', 'pekat']"
14,"""Saya terkejut, kenapa gelap ini.",kejut gelap,"['kejut', 'gelap']"
15,"Kemarin-kemarin ada kabut asap, tapi tidak separah hari ini,"" kata dia sebagaimana dikutip Antara.",kemarin kemarin kabut asap parah kutip,"['kemarin', 'kabut', 'asap', 'parah', 'kutip']"
16,"Keluhan atas kondisi ini juga diungkapkan Tina, seorang guru senam di sebuah tempat kebugaran.",keluh kondisi tina orang guru senam buah bugar,"['keluh', 'kondisi', 'tina', 'orang', 'guru', 'senam', 'buah', 'bugar']"
17,"""Saya selalu ke luar rumah pukul 06.00 WIB karena ada jadwal senam, sempat terkejut juga karena jarak pandang hanya 10 meter.",rumah wib jadwal senam kejut jarak pandang meter,"['rumah', 'wib', 'jadwal', 'senam', 'kejut', 'jarak', 'pandang', 'meter']"
18,"Sangat terasa, apalagi saya pakai sepeda motor,"" kata dia.",asa pakai sepeda motor,"['asa', 'pakai', 'sepeda', 'motor']"
19,"Kepala Seksi Observasi dan Informasi Stasiun Meteorologi SMB II Palembang, Bambang Beny Setiaji, mengatakan kabut tersebut bercampur asap kiriman dari wilayah Kabupaten Ogan Komering Ilir (OKI) yang berada sebelah tenggara Kota Palembang.",kepala seksi observasi informasi stasiun meteorologi smb ii palembang bambang beny setiaji kabut campur asap kirim wilayah kabupaten ogan komering ilir oki belah tenggara kota palembang,"['kepala', 'seksi', 'observasi', 'informasi', 'stasiun', 'meteorologi', 'smb', 'ii', 'palembang', 'bambang', 'beny', 'setiaji', 'kabut', 'campur', 'asap', 'kirim', 'wilayah', 'kabupaten', 'ogan', 'komering', 'ilir', 'oki', 'belah', 'tenggara', 'kota']"
20,Kabut asap di Kota Palembang semakin parah dalam sepekan terakhir akibat dampak kebakaran hutan dan lahan di sejumlah kabupaten.,kabut asap kota palembang parah pek akibat dampak bakar hutan lahan kabupaten,"['kabut', 'asap', 'kota', 'palembang', 'parah', 'pek', 'akibat', 'dampak', 'bakar', 'hutan', 'lahan', 'kabupaten']"
21,"Berdasarkan data Badan Penanggulangan Bencana Daerah Provinsi Sumsel yang bersumber dari Satelit Lapan disebutkan jumlah titik panas pada Senin (14/10) mencapai 732 titik, dengan titik panas terbanyak di Kabupaten Ogan Komering Ilir yang berjumlah 437 titik.",dasar data badan tanggulang bencana daerah provinsi sumsel sumber satelit lap titik panas senin capai titik titik panas kabupaten ogan komering ilir titik,"['dasar', 'data', 'badan', 'tanggulang', 'bencana', 'daerah', 'provinsi', 'sumsel', 'sumber', 'satelit', 'lap', 'titik', 'panas', 'senin', 'capai', 'kabupaten', 'ogan', 'komering', 'ilir']"
22,"Sebelumnya, pada Jumat (11/10), titik panas berjumlah 417 titik.",jumat titik panas titik,"['jumat', 'titik', 'panas']"
23,"Kepala Bidang Kedaruratan Badan Penanggulangan Bencana Daerah Provinsi Sumsel, Ansori, mengatakan titik panas terbanyak terpantau di Kabupaten Ogan Komering Ilir sehingga fokus pemadaman difokuskan di wilayah tersebut.",kepala bidang darurat badan tanggulang bencana daerah provinsi sumsel ansori titik panas pantau kabupaten ogan komering ilir fokus madam fokus wilayah,"['kepala', 'bidang', 'darurat', 'badan', 'tanggulang', 'bencana', 'daerah', 'provinsi', 'sumsel', 'ansori', 'titik', 'panas', 'pantau', 'kabupaten', 'ogan', 'komering', 'ilir', 'fokus', 'madam', 'wilayah']"
24,"""Kami selalu lakukan waterbombing (pemadaman dari udara), setiap hari mengerahkan lima unit helikopter.",laku waterbombing madam udara kerah unit helikopter,"['laku', 'waterbombing', 'madam', 'udara', 'kerah', 'unit', 'helikopter']"
25,"Kebakaran di OKI ini memang sulit dipadamkan karena terjadi di kawasan gambut, dan akses darat yang terbatas.",bakar oki sulit padam kawasan gambut akses darat batas,"['bakar', 'oki', 'sulit', 'padam', 'kawasan', 'gambut', 'akses', 'darat', 'batas']"
26,"belum lagi jika terbakar, asapnya mengarah ke Palembang,"" kata Ansori.",bakar asap arah palembang ansori,"['bakar', 'asap', 'arah', 'palembang', 'ansori']"
27,"Sementara itu, aktivitas kapal bertonase di Sungai Musi, Kota Palembang, dihentikan akibat kabut asap pekat.",aktivitas kapal tonase sungai mus kota palembang henti akibat kabut asap pekat,"['aktivitas', 'kapal', 'tonase', 'sungai', 'mus', 'kota', 'palembang', 'henti', 'akibat', 'kabut', 'asap', 'pekat']"
28,"""Para pandu kapal menunda gerakan kapal-kapal bertonase untuk sementara waktu,"" kata Kepala Seksi Lalu lintas pelayaran Kantor Kesyahbandaran dan Otoritas Pelabuhan (KSOP) Kelas II Palembang, Andriawan, kepada Antara.",pandu kapal tunda gera kapal kapal tonase kepala seksi lintas layar kantor syahbandar otoritas labuh ksop kelas ii palembang andriawan,"['pandu', 'kapal', 'tunda', 'gera', 'tonase', 'kepala', 'seksi', 'lintas', 'layar', 'kantor', 'syahbandar', 'otoritas', 'labuh', 'ksop', 'kelas', 'ii', 'palembang', 'andriawan']"
29,"Menurutnya KSOP masih memberlakukan aturan genap - ganjil untuk kapal bertonase masuk dan keluar dari wilayah Sungai Musi Palembang, namun batas waktu hanya pada rentang pukul 06.00 - 10.00 WIB.",ksop laku atur genap ganjil kapal tonase masuk wilayah sungai mus palembang batas rentang wib,"['ksop', 'laku', 'atur', 'genap', 'ganjil', 'kapal', 'tonase', 'masuk', 'wilayah', 'sungai', 'mus', 'palembang', 'batas', 'rentang', 'wib']"
30,Sementara kapal-kapal speadboat pembawa barang dari luar Palembang yang sandar di Dermaga 16 ilir Palembang juga menunda keberangkatannya akibat jarak pandang membahayakan.,kapal kapal speadboat bawa barang palembang sandar dermaga ilir palembang tunda berangkat akibat jarak pandang bahaya,"['kapal', 'speadboat', 'bawa', 'barang', 'palembang', 'sandar', 'dermaga', 'ilir', 'tunda', 'berangkat', 'akibat', 'jarak', 'pandang', 'bahaya']"
31,"""Biasanya pukul 07.00 WIB kami sudah keluar dari Palembang, tapi sampai pukul 08.30 WIB belum bisa keluar karena bahaya sekali, apalagi jam 07.00 - 09.00 WIB itu ramai-ramainya kapal kecil,"" kata salah seorang nahkoda speadboat, Pardi.",wib palembang wib bahaya jam wib ramai ramai kapal salah orang nahkoda speadboat pardi,"['wib', 'palembang', 'bahaya', 'jam', 'ramai', 'kapal', 'salah', 'orang', 'nahkoda', 'speadboat', 'pardi']"
32,"Kabut asap tersebut, kata dia, mengakibatkan omzet pendapatan menurun 20%.",kabut asap akibat omzet turun,"['kabut', 'asap', 'akibat', 'omzet', 'turun']"
33,"""Penumpang tidak ada yang mau naik karena mereka ada yang takut, ya jadinya kurang penumpang,"" tambahnya.",tumpang takut ya tumpang,"['tumpang', 'takut', 'ya']"
